species;ft_la;ft_sla;ft_ldmc;ft_stomata;ft_dpph;ft_proline;ft_chla;ft_chlb;ft_totalchl
Actinodaphne glabra;227.67;90.48;0.410;73;19.50;131.06;2.56;1.12;3.67
Adina euryncha;49.68;197.34;0.333;55;14.33;173.06;2.97;3.56;6.53
Alseodaphne elmeri;236.39;85.09;0.225;109;20.01;118.00;1.42;0.80;2.22
Alstonia scholaris;68.77;295.35;0.191;28;12.71;134.71;2.57;1.97;4.53
Aporosa lucida;50.23;102.67;0.253;69;4.40;0.00;1.02;0.67;1.69
Aquilaria malaccensis;41.97;139.67;0.372;82;18.04;77.53;2.26;0.99;3.26
Archidendron clypearia;76.50;77.63;0.394;52;22.18;147.06;2.99;2.18;5.17
Archidendron macrocarpum;130.00;334.13;0.487;14;18.74;226.12;2.47;2.23;4.70
Artocarpus elasticus;313.00;48.46;0.259;127;18.78;126.94;2.24;2.47;4.71
Artocarpus integer;68.95;130.17;0.357;106;13.72;293.88;2.57;4.30;6.86
Artocarpus nitidus;58.25;121.96;0.358;105;20.09;170.82;2.62;2.26;4.88
Baccaurea motleyana;264.04;92.33;0.301;17;15.17;32.47;0.92;0.33;1.25
Baccaurea parviflora;81.81;109.30;0.250;20;14.20;45.29;0.69;0.15;0.85
Bouea oppositifolia;56.99;77.73;0.539;85;21.37;0.00;1.79;0.53;2.32
Bridelia glauca;170.62;110.98;0.339;14;19.79;50.35;2.77;1.46;4.23
Calophyllum ferrugineum;92.27;116.04;0.365;25;20.85;30.00;2.46;1.52;3.98
Campnosperma auriculatum;141.94;141.99;0.400;36;12.61;0.00;2.15;0.94;3.09
Cratoxylum arborescens;52.17;253.33;0.253;48;17.32;14.82;1.84;0.73;2.57
Crudia reticulata;122.35;109.76;0.468;69;19.45;35.76;2.59;2.74;5.33
Dacryodes rostrata;535.33;125.99;0.400;31;30.76;28.35;2.66;1.08;3.74
Dacryodes rubiginosa;532.00;154.41;0.380;16;17.45;16.47;2.80;2.60;5.40
Diospyros buxifolia;75.50;415.67;0.489;37;11.19;6.82;1.78;0.52;2.30
Diospyros confertiflora;11.02;67.61;0.393;41;17.37;0.00;1.14;0.58;1.72
Diospyros macrophylla;10.11;72.88;0.393;42;31.53;0.00;1.88;0.95;2.83
Dipterocarpus confertus;275.37;87.02;0.398;9;26.95;1.06;2.74;2.25;4.98
Dipterocarpus cornutus;418.56;96.25;0.361;17;18.33;13.65;2.90;3.01;5.91
Dryobalanops lanceolata;49.04;95.12;0.361;36;13.79;33.41;2.48;2.19;4.66
Drypetes kikir;23.34;54.38;0.446;20;10.39;42.82;1.78;1.05;2.83
Durio dulcis;89.51;170.01;0.330;39;8.57;19.65;2.54;2.73;5.27
Durio lanceolatus;96.00;98.05;0.327;19;9.41;0.00;2.54;1.89;4.43
Durio oxleyanus;37.43;93.44;0.341;7;11.95;15.76;2.69;2.81;5.50
Eusideroxylon zwageri;242.67;85.73;0.365;0;26.29;16.00;1.87;0.98;2.85
Ficus uncinata;125.65;133.36;0.333;55;21.76;12.94;2.84;4.91;7.74
Gironniera nervosa;58.88;124.81;0.352;36;16.72;17.06;2.36;3.03;5.39
Goniothalamus macrophyllus;304.91;65.53;0.414;43;18.38;81.88;2.27;1.53;3.81
Hancea penangensis;71.58;133.99;0.460;4;12.70;10.00;2.77;2.37;5.14
Heritiera elata;117.21;93.23;0.598;36;13.19;0.00;2.26;1.47;3.74
Hopea mengarawan;26.49;87.02;0.434;82;9.92;36.12;2.22;1.19;3.41
Horsfieldia grandis;287.81;117.69;0.242;13;5.35;46.12;1.59;0.49;2.08
Knema latericia;44.98;110.95;0.384;13;10.73;0.00;1.74;0.95;2.69
Koompassia malaccensis;193.50;167.98;0.359;14;28.94;0.00;2.58;1.24;3.82
Litsea elliptica;74.46;237.03;0.236;27;12.97;30.94;1.79;0.75;2.53
Litsea firma;55.84;192.02;0.303;48;34.79;92.82;3.04;2.82;5.86
Macaranga hypoleuca;282.00;77.45;0.367;117;16.61;4.41;2.80;2.13;4.94
Madhuca kingiana;143.68;45.98;0.397;48;27.87;154.59;2.36;2.19;4.55
Mammea acuminata;301.05;49.23;0.330;73;24.70;87.29;1.76;1.11;2.87
Mangifera decandra;169.37;102.56;0.441;21;31.26;131.65;2.84;2.44;5.28
Moultonianthus leembruggianus;108.40;102.27;0.398;66;34.51;153.41;1.66;0.46;2.11
Neonauclea gigantea;920.12;88.14;0.332;82;22.00;11.41;2.36;0.71;3.07
Nephelium uncinatum;222.00;110.61;0.496;175;29.34;3.65;2.89;2.89;5.77
Ochanostachys amentacea;95.75;205.81;0.372;40;28.41;10.71;2.54;2.05;4.59
Parinari oblongifolia;150.29;178.56;0.458;12;17.20;21.37;2.63;4.24;6.87
Pentace laxiflora;24.16;200.09;0.382;50;54.61;14.35;2.74;2.01;4.74
Pentace triptera;48.21;197.89;0.376;58;14.75;124.94;2.49;3.26;5.74
Polyalthia glauca;68.40;96.42;0.428;26;24.76;14.12;1.23;0.56;1.79
Pometia pinnata;6292.50;48.23;0.506;84;29.41;13.88;2.11;2.15;4.26
Pternandra galeata;58.33;127.19;0.297;61;33.60;18.00;1.09;0.43;1.52
Rothmannia schoemannii;83.65;190.50;0.365;94;9.14;0.00;3.04;3.70;6.74
Rubroshorea leprosula;74.81;204.98;0.388;36;3.31;21.76;2.89;2.35;5.24
Rubroshorea ovalis;98.27;268.38;0.390;14;5.56;22.47;2.95;2.30;5.24
Rubroshorea smithiana;543.21;263.17;0.402;51;0.33;15.29;2.81;3.12;5.93
Sandoricum koetjape;332.50;35.66;0.277;71;7.46;0.00;2.07;0.51;2.57
Scaphium macropodum;177.17;128.97;0.374;42;0.10;13.41;2.92;2.55;5.48
Schima wallichii;90.69;141.57;0.368;87;20.37;2.06;2.41;0.92;3.33
Scorodocarpus borneensis;105.36;110.85;0.333;21;0.25;0.00;2.52;1.98;4.49
Shorea laevis;33.10;177.24;0.473;72;1.39;1.18;2.91;2.36;5.27
Sindora velutina;220.50;99.54;0.477;28;16.66;0.00;2.98;3.02;6.00
