No.;nr_lokasi;nr_plot;nr_class;nr_ind;ID_ind;name_sp;nr_circ;nr_dbh;nr_basalarea;canopy_openness;canopy_closedness;canopy_class;nr_FW;nr_DW;sample_extract;sample_la;ft_la;la_sum;ft_sla;ft_ldmc;sample_stomata;ft_stomata;517nm;dpph_batch;dpph_blank;dpph_rsa;dpph_content;ft_dpph;ft_dpphrsa;520nm;proline_sample;proline_content;ft_proline;663nm;645nm;470nm;chla_sample;chlb_sample;totalchl_sample;chla_content;chlb_content;totalchl_content;ft_chla;ft_chlb;ft_totalchl
1;Wanariset;1;1;12;W.01.1.012;Rubiaceae2;;0.62;0.301754;0.172;0.737;Closed;20.98;5.59;FALSE;TRUE;133,686;668.43;119.58;0.2664;TRUE;26;0.038;88;0.365;89.59;223,975;223,975;89.59;0.039;2,294,117,647;2,294,117,647;2,294,117,647;0.765;0.152;0.44;9.31;-0.10;9.21;0.930662;-0.00994;0.92057;0.930662;0;0.92057
2;Wanariset;1;1;28;W.01.1.028;Trigonostemon villosus;;0.67;0.3523865;0.172;0.737;Closed;20.05;6.06;FALSE;TRUE;107,834;539.17;88.97;0.3022;TRUE;35;0.01;88;0.365;97.26;24,315;24,315;97.26;-0.069;-4,058,823,529;-4,058,823,529;0;0.067;0.015;0.063;0.81;0.03;0.84;0.081055;0.002994;0.084034;0.081055;0.002994;0.084034
3;Wanariset;1;1;32;W.01.1.032;Trigonostemon villosus;;1.65;21,371,625;0.172;0.737;Closed;21.93;6.6;FALSE;TRUE;115,802;579.01;87.73;0.3010;TRUE;37;0.508;89;0.387;-31.27;-78,175;0;0;0.067;3,941,176,471;3,941,176,471;3,941,176,471;0.106;0.082;0.157;1.13;1.38;2.51;0.112562;0.138172;0.250652;0.112562;0.138172;0.250652
4;Wanariset;1;1;61;W.01.1.061;Shorea laevis;;0.58;0.264074;0.172;0.737;Closed;1.39;0.67;FALSE;TRUE;18,882;94.41;140.91;0.4820;TRUE;56;0.188;89;0.387;51.42;12,855;12,855;51.42;-0.018;-1,058,823,529;-1,058,823,529;0;2,518;1,484;2,976;27.99;22.20;50.17;2,798,664;2,219,936;5,017,116;2,798,664;2,219,936;5,017,116
5;Wanariset;1;1;48;W.01.1.048;Pternandra coerulescens;;0.26;0.053066;0.172;0.737;Closed;2.27;0.99;FALSE;TRUE;31,722;158.61;160.21;0.4361;TRUE;38;0.557;91;0.363;-53.44;-13.36;0;0;0.004;0.2352941176;2,352,941,176;2,352,941,176;2,288;1,984;2,589;23.72;34.73;58.43;2,372,064;3,472,576;5,842,656;2,372,064;3,472,576;5,842,656
6;Wanariset;1;1;100;W.01.1.100;Antidesma neurocarpum;;0.64;0.321536;0.172;0.737;Closed;6.16;2.34;FALSE;TRUE;35.09;175.45;74.98;0.3799;TRUE;25;0.068;89;0.387;82.43;206,075;206,075;82.43;0.088;5,176,470,588;5,176,470,588;5,176,470,588;0.521;0.208;0.646;6.06;2.32;8.38;0.605718;0.232492;0.838002;0.605718;0.232492;0.838002
7;Wanariset;1;1;72;W.01.1.072;Paracroton pendulus;;0.65;0.3316625;0.172;0.737;Closed;16.47;4.32;FALSE;TRUE;103.08;515.4;119.31;0.2623;TRUE;19;0.44;87;0.478;7.95;19,875;19,875;7.95;0.088;5,176,470,588;5,176,470,588;5,176,470,588;1,663;1,071;2,182;18.24;16.74;34.97;1,823,911;1,674,306;3,497,146;1,823,911;1,674,306;3,497,146
8;Wanariset;1;1;85;W.01.1.085;Annonaceae2;;0.96;0.723456;0.172;0.737;Closed;4.94;1.89;FALSE;TRUE;68,048;340.24;180.02;0.3826;FALSE;;0.437;87;0.478;8.58;2,145;2,145;8.58;-0.084;-4,941,176,471;-4,941,176,471;0;1,667;0.572;1,199;19.63;5.30;24.92;1,963,222;0.529724;2,492,374;1,963,222;0.529724;2,492,374
9;Wanariset;1;1;89;W.01.1.089;Discospermum malaccense;;1.52;1,813,664;0.172;0.737;Closed;5.35;1.67;FALSE;TRUE;37,592;187.96;112.55;0.3121;TRUE;60;0.068;87;0.478;85.77;214,425;214,425;85.77;-0.022;-1,294,117,647;-1,294,117,647;0;1,347;0.697;1,736;15.23;9.66;24.88;1,523,197;0.965734;2,488,234;1,523,197;0.965734;2,488,234
10;Wanariset;1;1;104;W.01.1.104;Knema laurina;;0.34;0.090746;0.172;0.737;Closed;6.52;2.73;FALSE;TRUE;76,708;383.54;140.49;0.4187;TRUE;31;0.399;90;0.359;-11.14;-2,785;0;0;-0.227;-1,335,294,118;-1,335,294,118;0;1,786;1,038;2,701;19.89;15.41;35.29;1,988,998;1,541,172;3,529,132;1,988,998;1,541,172;3,529,132
