species;relative_abundance
Heritiera elata;0.040428061
Bouea oppositifolia;0.038650647
Polyalthia glauca;0.03576793
Drypetes kikir;0.031449392
Shorea laevis;0.030046977
Xanthophyllum stipitatum;0.028405125
Diospyros confertiflora;0.028379068
Hopea mengarawan;0.028015718
Syzygium caudatum;0.027759172
Hancea penangensis;0.024843713
Knema latericia;0.023165368
Durio lanceolatus;0.021833948
Durio oxleyanus;0.019992693
Crudia reticulata;0.019859681
Dryobalanops lanceolata;0.019042854
Sindora velutina;0.017665982
Scorodocarpus borneensis;0.0173675
Stemonurus malaccensis;0.017090926
Gironniera nervosa;0.016942421
Rubroshorea leprosula;0.016343499
Vatica umbonata;0.016296465
Nephelium uncinatum;0.01605835
Campnosperma auriculatum;0.016057202
Schima wallichii;0.015707898
Rothmannia schoemannii;0.015529601
Parinari oblongifolia;0.015514632
Calophyllum ferrugineum;0.014990697
Aquilaria malaccensis;0.014839036
Scaphium macropodum;0.014432118
Durio dulcis;0.013341533
Diospyros buxifolia;0.012914045
Archidendron clypearia;0.01286403
Rubroshorea ovalis;0.012511758
Pentace laxiflora;0.012303509
Ficus uncinata;0.011992689
Ochanostachys amentacea;0.011854663
Pternandra galeata;0.011814655
Pentace triptera;0.011008826
Baccaurea parviflora;0.010534354
Madhuca kingiana;0.010493155
Dipterocarpus confertus;0.010394748
Mangifera decandra;0.010145383
Macaranga hypoleuca;0.010144097
Bridelia glauca;0.010045215
Artocarpus nitidus;0.009989235
Eusideroxylon zwageri;0.009867171
Moultonianthus leembruggianus;0.009591014
Koompassia malaccensis;0.009362589
Goniothalamus macrophyllus;0.00867098
Actinodaphne glabra;0.008622866
Cratoxylum arborescens;0.008552268
Tabernaemontana macrocarpa;0.008216542
Adina euryncha;0.007994372
Litsea firma;0.007795934
Strombosia javanica;0.007763774
Litsea elliptica;0.0076896
Sandoricum koetjape;0.007676868
Baccaurea motleyana;0.007498928
Strobocalyx arborea;0.006846575
Artocarpus integer;0.006519794
Mammea acuminata;0.006286399
Archidendron macrocarpum;0.005868551
Dipterocarpus cornutus;0.005713244
Horsfieldia grandis;0.00545666
Terminalia foetidissima;0.005044565
Alseodaphne elmeri;0.00454542
Artocarpus elasticus;0.004318203
Alstonia scholaris;0.003985023
Dacryodes rubiginosa;0.003574161
Dacryodes rostrata;0.003489582
Rubroshorea smithiana;0.003251008
Neonauclea gigantea;0.000969339
Pometia pinnata;3.34E-11
