species;relative_abundance
Polyalthia glauca;0.118878743
Diospyros confertiflora;0.069101198
Baccaurea parviflora;0.058522436
Drypetes kikir;0.054173465
Xanthophyllum stipitatum;0.053667591
Hopea mengarawan;0.033585727
Pternandra galeata;0.033049898
Syzygium caudatum;0.030729177
Durio lanceolatus;0.029739498
Knema latericia;0.028045042
Moultonianthus leembruggianus;0.027916659
Aquilaria malaccensis;0.024955002
Bouea oppositifolia;0.022236468
Artocarpus nitidus;0.022219957
Archidendron clypearia;0.019978157
Dryobalanops lanceolata;0.019596031
Artocarpus integer;0.017890266
Durio oxleyanus;0.017038086
Stemonurus malaccensis;0.01646101
Madhuca kingiana;0.016039052
Vatica umbonata;0.014658088
Alseodaphne elmeri;0.014365634
Litsea elliptica;0.012545776
Calophyllum ferrugineum;0.012188407
Cratoxylum arborescens;0.011448657
Scorodocarpus borneensis;0.011382947
Strobocalyx arborea;0.011202749
Schima wallichii;0.010881707
Gironniera nervosa;0.010256536
Adina euryncha;0.008723159
Baccaurea motleyana;0.008534985
Pentace triptera;0.008241867
Alstonia scholaris;0.007488352
Campnosperma auriculatum;0.007076439
Shorea laevis;0.007048113
Hancea penangensis;0.006961546
Litsea firma;0.006659241
Heritiera elata;0.00655903
Bridelia glauca;0.006524403
Durio dulcis;0.006324668
Actinodaphne glabra;0.00622274
Tabernaemontana macrocarpa;0.005851967
Horsfieldia grandis;0.00577755
Pentace laxiflora;0.005749605
Mammea acuminata;0.005446391
Rubroshorea leprosula;0.005023511
Crudia reticulata;0.00501698
Mangifera decandra;0.004857094
Sandoricum koetjape;0.004751236
Eusideroxylon zwageri;0.00472696
Strombosia javanica;0.004633605
Artocarpus elasticus;0.004130902
Ochanostachys amentacea;0.003838573
Scaphium macropodum;0.003425806
Terminalia foetidissima;0.003310461
Rothmannia schoemannii;0.002973468
Goniothalamus macrophyllus;0.002863195
Koompassia malaccensis;0.002589072
Ficus uncinata;0.002359411
Rubroshorea ovalis;0.002295018
Macaranga hypoleuca;0.001892355
Archidendron macrocarpum;0.001811798
Dipterocarpus confertus;0.001501954
Sindora velutina;0.001500402
Diospyros buxifolia;0.001424976
Parinari oblongifolia;0.001314744
Nephelium uncinatum;0.001226803
Dipterocarpus cornutus;0.000333485
Dacryodes rostrata;0.000141323
Dacryodes rubiginosa;7.86E-05
Rubroshorea smithiana;2.69E-05
Neonauclea gigantea;7.29E-06
Pometia pinnata;1.78E-28
